npm warn exec The following package was not found and will be installed: serve@14.2.5
 INFO  Accepting connections at http://localhost:3000
 HTTP  1/19/2026 1:06:20 PM ::1 GET /
 HTTP  1/19/2026 1:06:20 PM ::1 Returned 200 in 284 ms
 HTTP  1/19/2026 1:06:20 PM ::1 GET /_next/static/media/07454f8ad8aaac57-s.p.fc65572f.woff2
 HTTP  1/19/2026 1:06:20 PM ::1 Returned 200 in 3 ms
 HTTP  1/19/2026 1:06:20 PM ::1 GET /_next/static/chunks/6964ec9b69c9e430.css
 HTTP  1/19/2026 1:06:20 PM ::1 GET /_next/static/media/5d52bd6c4cb3f315-s.p.610fd2a3.woff2
 HTTP  1/19/2026 1:06:20 PM ::1 GET /_next/static/media/c9e42e3eae6237c2-s.p.24d96596.woff2
 HTTP  1/19/2026 1:06:20 PM ::1 Returned 200 in 4 ms
 HTTP  1/19/2026 1:06:20 PM ::1 Returned 200 in 4 ms
 HTTP  1/19/2026 1:06:20 PM ::1 Returned 200 in 4 ms
 HTTP  1/19/2026 1:06:20 PM ::1 GET /_next/static/chunks/42fcfed921ede9a6.js
 HTTP  1/19/2026 1:06:20 PM ::1 Returned 200 in 6 ms
 HTTP  1/19/2026 1:06:21 PM ::1 GET /_next/static/chunks/09d4d2a03a358bbe.js
 HTTP  1/19/2026 1:06:21 PM ::1 GET /_next/static/chunks/2e88c431bd283612.js
 HTTP  1/19/2026 1:06:21 PM ::1 GET /_next/static/chunks/turbopack-6d726f74a5503ec1.js
 HTTP  1/19/2026 1:06:21 PM ::1 GET /_next/static/chunks/4d5766abc14fac54.js
 HTTP  1/19/2026 1:06:21 PM ::1 GET /_next/static/chunks/5c5989a4c61ce94e.js
 HTTP  1/19/2026 1:06:21 PM ::1 GET /_next/static/chunks/3145a42523c2f11f.js
 HTTP  1/19/2026 1:06:21 PM ::1 Returned 200 in 10 ms
 HTTP  1/19/2026 1:06:21 PM ::1 Returned 200 in 7 ms
 HTTP  1/19/2026 1:06:21 PM ::1 Returned 200 in 6 ms
 HTTP  1/19/2026 1:06:21 PM ::1 Returned 200 in 14 ms
 HTTP  1/19/2026 1:06:21 PM ::1 Returned 200 in 7 ms
 HTTP  1/19/2026 1:06:21 PM ::1 Returned 200 in 16 ms
 HTTP  1/19/2026 1:06:21 PM ::1 GET /_next/static/chunks/78affe665d514c68.js
 HTTP  1/19/2026 1:06:21 PM ::1 Returned 200 in 6 ms
 HTTP  1/19/2026 1:06:21 PM ::1 GET /sounds/button.wav
 HTTP  1/19/2026 1:06:21 PM ::1 GET /sounds/correct.wav
 HTTP  1/19/2026 1:06:21 PM ::1 GET /sounds/wrong.wav
 HTTP  1/19/2026 1:06:21 PM ::1 Returned 200 in 3 ms
 HTTP  1/19/2026 1:06:21 PM ::1 Returned 200 in 5 ms
 HTTP  1/19/2026 1:06:21 PM ::1 Returned 200 in 7 ms
 HTTP  1/19/2026 1:06:22 PM ::1 GET /
 HTTP  1/19/2026 1:06:22 PM ::1 Returned 304 in 1 ms
 HTTP  1/19/2026 1:06:22 PM ::1 GET /_next/static/media/07454f8ad8aaac57-s.p.fc65572f.woff2
 HTTP  1/19/2026 1:06:22 PM ::1 GET /_next/static/media/5d52bd6c4cb3f315-s.p.610fd2a3.woff2
 HTTP  1/19/2026 1:06:22 PM ::1 GET /_next/static/media/c9e42e3eae6237c2-s.p.24d96596.woff2
 HTTP  1/19/2026 1:06:22 PM ::1 GET /_next/static/chunks/6964ec9b69c9e430.css
 HTTP  1/19/2026 1:06:22 PM ::1 Returned 304 in 2 ms
 HTTP  1/19/2026 1:06:22 PM ::1 Returned 304 in 2 ms
 HTTP  1/19/2026 1:06:22 PM ::1 Returned 304 in 2 ms
 HTTP  1/19/2026 1:06:22 PM ::1 Returned 304 in 1 ms
 HTTP  1/19/2026 1:06:22 PM ::1 GET /_next/static/chunks/42fcfed921ede9a6.js
 HTTP  1/19/2026 1:06:22 PM ::1 Returned 304 in 0 ms
 HTTP  1/19/2026 1:06:22 PM ::1 GET /_next/static/chunks/09d4d2a03a358bbe.js
 HTTP  1/19/2026 1:06:22 PM ::1 GET /_next/static/chunks/2e88c431bd283612.js
 HTTP  1/19/2026 1:06:22 PM ::1 GET /_next/static/chunks/turbopack-6d726f74a5503ec1.js
 HTTP  1/19/2026 1:06:22 PM ::1 GET /_next/static/chunks/4d5766abc14fac54.js
 HTTP  1/19/2026 1:06:22 PM ::1 GET /_next/static/chunks/5c5989a4c61ce94e.js
 HTTP  1/19/2026 1:06:22 PM ::1 Returned 304 in 2 ms
 HTTP  1/19/2026 1:06:22 PM ::1 Returned 304 in 2 ms
 HTTP  1/19/2026 1:06:22 PM ::1 Returned 304 in 3 ms
 HTTP  1/19/2026 1:06:22 PM ::1 GET /_next/static/chunks/3145a42523c2f11f.js
 HTTP  1/19/2026 1:06:22 PM ::1 Returned 304 in 3 ms
 HTTP  1/19/2026 1:06:22 PM ::1 Returned 304 in 4 ms
 HTTP  1/19/2026 1:06:22 PM ::1 Returned 304 in 1 ms
 HTTP  1/19/2026 1:06:22 PM ::1 GET /_next/static/chunks/78affe665d514c68.js
 HTTP  1/19/2026 1:06:22 PM ::1 Returned 304 in 1 ms
 HTTP  1/19/2026 1:06:22 PM ::1 GET /sounds/button.wav
 HTTP  1/19/2026 1:06:22 PM ::1 GET /sounds/correct.wav
 HTTP  1/19/2026 1:06:22 PM ::1 GET /sounds/wrong.wav
 HTTP  1/19/2026 1:06:22 PM ::1 Returned 304 in 2 ms
 HTTP  1/19/2026 1:06:22 PM ::1 Returned 304 in 1 ms
 HTTP  1/19/2026 1:06:22 PM ::1 Returned 304 in 2 ms
